groupby,metoda,iloscDanych,czas[ms]
id,df,7000,8
id,df,7000,11
id,df,7000,9
id,df,7000,17
id,df,7000,12
id,df,7000,15
id,df,7000,25
id,df,7000,13
id,df,7000,8
id,df,7000,9
id,df,7000,8
id,df,7000,10
id,df,7000,9
id,df,7000,9
id,df,7000,17
id,df,7000,15
id,df,7000,16
id,df,7000,15
id,df,7000,16
id,df,7000,18
id,df,7000,24
id,df,7000,14
id,df,7000,12
id,df,7000,19
id,df,7000,9
id,df,7000,13
id,df,7000,12
id,df,7000,33
id,df,7000,26
id,df,7000,30
id,df,7000,106
id,df,7000,150
id,df,7000,254
id,df,7000,80
id,df,7000,54
id,df,7000,18
id,df,7000,14
id,df,7000,35
id,df,7000,67
id,df,7000,23
id,df,7000,31
id,df,7000,12
id,df,7000,33
id,df,7000,14
id,df,7000,220
id,df,7000,34
id,df,7000,77
id,df,7000,23
id,df,7000,10
id,df,7000,16
id,df,7000,12
id,df,7000,11
id,df,7000,10
id,df,7000,16
id,df,7000,9
id,df,7000,9
id,df,7000,8
id,df,7000,8
id,df,7000,8
id,df,7000,6
id,df,7000,14
id,df,7000,27
id,df,7000,13
id,df,7000,37
id,df,7000,29
id,df,7000,15
id,df,7000,19
id,df,7000,19
id,df,7000,15
id,df,7000,16
id,df,7000,15
id,df,7000,21
id,df,7000,16
id,df,7000,12
id,df,7000,16
id,df,7000,10
id,df,7000,11
id,df,7000,10
id,df,7000,22
id,df,7000,15
id,df,7000,10
id,df,7000,11
id,df,7000,12
id,df,7000,11
id,df,7000,11
id,df,7000,13
id,df,7000,9
id,df,7000,8
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,16
id,df,7000,10
id,df,7000,10
id,df,7000,10
id,df,7000,9
id,df,7000,11
id,df,7000,10
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,8
id,df,7000,9
id,df,7000,9
id,df,7000,9
id,df,7000,8
id,df,7000,9
id,df,7000,9
id,df,7000,17
id,df,7000,8
id,df,7000,9
id,df,7000,8
id,df,7000,7
id,df,7000,9
id,df,7000,8
id,df,7000,9
id,df,7000,8
id,df,7000,12
id,df,7000,8
id,df,7000,8
id,df,7000,10
id,df,7000,10
id,df,7000,10
id,df,7000,17
id,df,7000,11
id,df,7000,12
id,df,7000,10
id,df,7000,12
id,df,7000,12
id,df,7000,17
id,df,7000,15
id,df,7000,11
id,df,7000,12
id,df,7000,9
id,df,7000,12
id,df,7000,12
id,df,7000,11
id,df,7000,13
id,df,7000,13
id,df,7000,27
id,df,7000,34
id,df,7000,47
id,df,7000,16
id,df,7000,18
id,df,7000,26
id,df,7000,20
id,df,7000,49
id,df,7000,30
id,df,7000,15
id,df,7000,9
id-date,dfthreads,7000,84
id-date,dfthreads,7000,87
id-date,dfthreads,7000,59
id-date,dfthreads,7000,56
id-date,dfthreads,7000,51
id-date,dfthreads,7000,49
id-date,dfthreads,7000,66
id-date,dfthreads,7000,45
id-date,dfthreads,7000,40
id-date,dfthreads,7000,41
id-date,dfthreads,7000,41
id-date,dfthreads,7000,46
id-date,dfthreads,7000,52
id-date,dfthreads,7000,70
id-date,dfthreads,7000,50
id-date,dfthreads,7000,34
id-date,dfthreads,7000,45
id-date,dfthreads,7000,67
id-date,dfthreads,7000,43
id-date,dfthreads,7000,33
id-date,dfthreads,7000,34
id-date,dfthreads,7000,35
id-date,dfthreads,7000,33
id-date,dfthreads,7000,39
id-date,dfthreads,7000,34
id-date,dfthreads,7000,36
id-date,dfthreads,7000,57
id-date,dfthreads,7000,95
id-date,dfthreads,7000,51
id-date,dfthreads,7000,61
id-date,dfthreads,7000,55
id-date,dfthreads,7000,117
id-date,dfthreads,7000,139
id-date,dfthreads,7000,141
id-date,dfthreads,7000,76
id-date,dfthreads,7000,76
id-date,dfthreads,7000,69
id-date,dfthreads,7000,35
id-date,dfthreads,7000,36
id-date,dfthreads,7000,33
id-date,dfthreads,7000,34
id-date,dfthreads,7000,33
id-date,dfthreads,7000,34
id-date,dfthreads,7000,40
id-date,dfthreads,7000,137
id-date,dfthreads,7000,38
id-date,dfthreads,7000,65
id-date,dfthreads,7000,74
id-date,dfthreads,7000,43
id-date,dfthreads,7000,36
id-date,dfthreads,7000,36
id-date,dfthreads,7000,45
id-date,dfthreads,7000,40
id-date,dfthreads,7000,34
id-date,dfthreads,7000,39
id-date,dfthreads,7000,37
id-date,dfthreads,7000,45
id-date,dfthreads,7000,31
id-date,dfthreads,7000,39
id-date,dfthreads,7000,38
id-date,dfthreads,7000,33
id-date,dfthreads,7000,32
id-date,dfthreads,7000,32
id-date,dfthreads,7000,32
id-date,dfthreads,7000,30
id-date,dfthreads,7000,38
id-date,dfthreads,7000,30
id-date,dfthreads,7000,32
id-date,dfthreads,7000,34
id-date,dfthreads,7000,37
id-date,dfthreads,7000,27
id-date,dfthreads,7000,24
id-date,dfthreads,7000,30
id-date,dfthreads,7000,26
id-date,dfthreads,7000,20
id-date,dfthreads,7000,20
id-date,dfthreads,7000,24
id-date,dfthreads,7000,20
id-date,dfthreads,7000,21
id-date,dfthreads,7000,20
id-date,dfthreads,7000,22
id-date,dfthreads,7000,20
id-date,dfthreads,7000,20
id-date,dfthreads,7000,28
id-date,dfthreads,7000,29
id-date,dfthreads,7000,30
id-date,dfthreads,7000,27
id-date,dfthreads,7000,28
id-date,dfthreads,7000,28
id-date,dfthreads,7000,26
id-date,dfthreads,7000,27
id-date,dfthreads,7000,35
id-date,dfthreads,7000,25
id-date,dfthreads,7000,25
id-date,dfthreads,7000,23
id-date,dfthreads,7000,24
id-date,dfthreads,7000,24
id-date,dfthreads,7000,23
id-date,dfthreads,7000,26
id-date,dfthreads,7000,26
id-date,dfthreads,7000,22
id-date,dfthreads,7000,25
id-date,dfthreads,7000,39
id-date,dfthreads,7000,44
id-date,dfthreads,7000,36
id-date,dfthreads,7000,35
id-date,dfthreads,7000,34
id-date,dfthreads,7000,33
id-date,dfthreads,7000,30
id-date,dfthreads,7000,39
id-date,dfthreads,7000,28
id-date,dfthreads,7000,24
id-date,dfthreads,7000,22
id-date,dfthreads,7000,24
id-date,dfthreads,7000,28
id-date,dfthreads,7000,37
id-date,dfthreads,7000,25
